X,Y,No,Tugu,X,Y,Distrik,Kelurahan,icon_url
132.652924974818,-2.74530600059216,1.000000,26221.000000,105817.519000,1196434.454000,Kokas,Darembang,./0.png
132.603938134498,-2.71107929230137,2.000000,26222.000000,100367.641000,1200215.250000,Kokas,Fior,./0.png
132.574143193456,-2.64884175798719,3.000000,26223.000000,97049.282000,1207094.992000,Kokas,Arguni,./0.png
132.515008144004,-2.68056728961008,4.000000,26224.000000,90475.930000,1203581.651000,Kokas,Andarmata,./0.png
132.444646903256,-2.6377746371782,5.000000,26225.000000,82647.360000,1208307.335000,Kokas,Ugar,./0.png
132.487351820903,-2.71421837283669,6.000000,26226.000000,87403.523000,1199857.906000,Kokas,Kinam,./0.png
132.4275778171,-2.72290807626165,7.000000,26227.000000,80757.341000,1198891.226000,Kokas,Patimburak,./0.png
132.40617735684,-2.79675687817038,8.000000,26228.000000,78385.044000,1190722.446000,Krama Manggo,Nembukteb,./0.png
132.347262104007,-2.74078057441545,9.000000,26229.000000,71827.764000,1196906.499000,Krama Manggo,Ubadari,./0.png
132.328783792976,-2.6666404027166,10.000000,26230.000000,69764.980000,1205103.582000,Krama Manggo,Kayuni,./0.png
132.303031921621,-2.79662681867519,11.000000,26231.000000,66915.366000,1190725.640000,Krama Manggo,Rangkendak 2,./0.png
132.273174826716,-2.701923884887,12.000000,26232.000000,63584.451000,1201195.522000,Krama Manggo,Rangkendak 1,./0.png
132.209726809732,-2.65555030002484,13.000000,26233.000000,56522.850000,1206316.843000,Teluk Patipi,Offie,./0.png
132.187577961904,-2.70428068254537,14.000000,26234.000000,54065.264000,1200924.927000,Teluk Patipi,Degen,./0.png
132.136946156954,-2.67051868800911,15.000000,26235.000000,48430.051000,1204652.699000,Teluk Patipi,Mawar,./0.png
132.107456966135,-2.7271252437939,16.000000,26236.000000,45157.414000,1198388.428000,Teluk Patipi,Sum,./0.png
132.050285703944,-2.73100284726826,17.000000,26237.000000,38799.490000,1197952.055000,Teluk Patipi,Rumbati,./0.png
132.053913960938,-2.89371295052811,18.000000,26238.000000,39225.309000,1179956.611000,Fakfak Barat,Sipatnanan,./0.png
132.119927780172,-2.93796092848726,19.000000,26239.000000,46572.126000,1175072.005000,Fakfak Barat,Siboro,./0.png
132.183058092121,-2.92771103954013,20.000000,26240.000000,53590.497000,1176214.065000,Fakfak Barat,Werpigan,./0.png
132.23255924638,-2.96936248147575,21.000000,26241.000000,59099.890000,1171614.038000,Fakfak Barat,Kiat,./0.png
132.304110463161,-2.87735386940217,22.000000,26242.000000,67044.525000,1181798.152000,Fakfak Kota,Fakfak Utara,./0.png
132.30837920764,-2.93322210445787,23.000000,26243.000000,67525.694000,1175620.179000,Fakfak Kota,Fakfak Selatan,./0.png
132.297021879219,-2.9827428979948,24.000000,26244.000000,66268.832000,1170142.295000,Fakfak Kota,Fakfak Selatan,./0.png
132.366388471483,-2.97158563727532,25.000000,26245.000000,73979.861000,1171384.337000,Fakfak Timur,Wayati,./0.png
132.420303517056,-2.99790708614378,26.000000,26246.000000,79977.017000,1168479.559000,Fakfak Timur,Kwama,./0.png
132.485709664182,-3.0431068626054,27.000000,26247.000000,87253.250000,1163488.153000,Fakfak Timur,Wambar,./0.png
132.442121137941,-3.0984015194977,28.000000,26248.000000,82413.534000,1157368.726000,Fakfak Timur,Urat,./0.png
132.543618249912,-3.14601846668014,29.000000,26249.000000,93701.140000,1152113.873000,Fakfak Timur,Urat,./0.png
132.60088547093,-3.1647026538598,30.000000,26250.000000,100068.538000,1150053.429000,Fakfak Timur,Tunasgai,./0.png
132.648628618292,-3.20527477331758,31.000000,26251.000000,105379.023000,1145571.486000,Fakfak Timur,Weri,./0.png
132.644129374677,-3.27964413033548,32.000000,26252.000000,104885.891000,1137347.372000,Fakfak Timur,Weri,./0.png
132.728599108111,-3.28567413652988,33.000000,26253.000000,114274.244000,1136688.220000,Karas,Tarak,./0.png
132.787903538847,-3.27841736527251,34.000000,26254.000000,120864.526000,1137495.531000,Karas,Tarak,./0.png
132.72653243615,-3.33606056088205,35.000000,26255.000000,114048.905000,1131116.463000,Karas,Tarak,./0.png
132.801622709108,-3.35683278889048,36.000000,26256.000000,122395.334000,1128825.807000,Karas,Tarak,./0.png
132.746868003401,-3.39612113676521,37.000000,26257.000000,116313.940000,1124476.921000,Karas,Tarak,./0.png
132.683770935882,-3.42644047766636,38.000000,26258.000000,109305.145000,1121118.569000,Karas,Antalisa,./0.png
132.752189104286,-3.44524591140213,39.000000,26259.000000,116909.471000,1119045.330000,Karas,Kiaba,./0.png
132.849737471324,-3.4739459197717,40.000000,26260.000000,127750.908000,1115879.792000,Karas,Tanjung Purkadi,./0.png
